co,PT08.S1(CO),NMHC(GT),benzene,PT08.S2(NMHC),nox,PT08.S3(NOx),no2,PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour_sin,hour_cos,co_lag1,co_std_3h,no2_lag1,no2_std_3h,nox_lag1,nox_std_3h,benzene_lag1,benzene_std_3h,PT08.S1(CO)_lag1,PT08.S1(CO)_diff,PT08.S2(NMHC)_lag1,PT08.S2(NMHC)_diff,PT08.S3(NOx)_lag1,PT08.S3(NOx)_diff,PT08.S4(NO2)_lag1,PT08.S4(NO2)_diff,PT08.S5(O3)_lag1,PT08.S5(O3)_diff,heat_index
2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,-1.0,-1.8369701987210297e-16,2.6,0.3055050463303892,113.0,12.423096769056151,166.0,31.564748269760262,11.9,1.571623364550171,1360.0,-68.0,1046.0,-91.0,1056.0,118.0,1692.0,-133.0,1268.0,-296.0,665.04
2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,-0.9659258262890684,0.2588190451025203,2.6,0.3055050463303892,113.0,12.423096769056151,166.0,31.564748269760262,11.9,1.571623364550171,1360.0,-68.0,1046.0,-91.0,1056.0,118.0,1692.0,-133.0,1268.0,-296.0,634.4100000000001
2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,-0.8660254037844386,0.5000000000000001,2.0,0.3055050463303892,92.0,12.423096769056151,103.0,31.564748269760262,9.4,1.571623364550171,1292.0,110.0,955.0,-16.0,1174.0,-34.0,1559.0,-4.0,972.0,102.0,642.6
2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,-0.7071067811865477,0.7071067811865474,2.2,0.11547005383792454,114.0,15.53490693030806,131.0,34.70350606687072,9.0,0.19999999999999454,1402.0,-26.0,939.0,9.0,1140.0,-48.0,1555.0,29.0,1074.0,129.0,660.0
1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,-0.5000000000000004,0.8660254037844384,2.2,0.34641016151377524,122.0,4.163331998932279,172.0,23.67136103677465,9.2,1.5044378795195659,1376.0,-104.0,948.0,-112.0,1092.0,113.0,1584.0,-94.0,1203.0,-93.0,667.52
1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,-0.25881904510252157,0.9659258262890681,1.6,0.5033222956847164,116.0,13.613718571108095,131.0,41.501004003919384,6.5,2.2649503305812226,1272.0,-75.0,836.0,-86.0,1205.0,132.0,1490.0,-97.0,1110.0,-161.0,663.04
1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0.0,1.0,1.2,0.2309401076758491,96.0,19.5021366350801,89.0,34.77067730142739,4.7,1.4640127503998457,1197.0,-12.0,750.0,-60.0,1337.0,125.0,1393.0,-60.0,949.0,-216.0,641.84
1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,0.25881904510252074,0.9659258262890683,1.2,0.1154700538379218,77.0,11.269427669584637,62.0,15.5884572681198,3.6,0.737111479583189,1185.0,-49.0,690.0,-18.0,1462.0,-9.0,1333.0,0.0,733.0,-3.0,642.0
0.9,1094.0,24.0,2.5,609.0,53.429729729729736,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0.49999999999999994,0.8660254037844387,1.0,0.15275252316519194,76.0,9.539392014169447,62.0,4.948047847568033,3.3,0.5686240703077172,1136.0,-42.0,672.0,-63.0,1453.0,126.0,1333.0,-57.0,730.0,-110.0,638.79
0.6,1010.0,19.0,2.5,561.0,53.429729729729736,1705.0,55.0,1235.0,501.0,10.3,60.2,0.7517,0.7071067811865476,0.7071067811865476,0.9,0.20816659994661119,60.0,10.969655114602881,53.429729729729736,4.948047847568024,2.5,0.4618802153516804,1094.0,-84.0,609.0,-48.0,1579.0,126.0,1276.0,-41.0,620.0,-119.0,620.0600000000001
